benchmark,network_id,network,domain,fold,method_id,average_precision,roc_auc,precision,recall,f1,ndcg,cutoff,positive_count,negative_count,candidate_count,distinct_score_count,tie_group_count,tied_candidate_count,tied_candidate_ratio,largest_tie_group,cutoff_score,cutoff_tie_size,cutoff_tie_positive_count,cutoff_tie_negative_count,cutoff_slots_in_tie,cutoff_tie_crosses_boundary,negative_ratio,is_primary_ratio,family,method
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,lpi,0.9825042429310553,0.9823783080717694,0.9681597409606044,0.9681597409606044,0.9681597409606044,0.9732351077916478,1853,1853,1853,3706,881,156,2981,0.8043712898003238,1860,0.0,1860,59,1801,7,True,1,True,quasi_local_path,LPI-beta-0.001
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,lrw,0.9511676215190323,0.950026488164494,0.9125742039935241,0.9125742039935241,0.9125742039935241,0.926457063215057,1853,1853,1853,3706,1576,71,2201,0.5939017808958446,1977,0.0,1977,176,1801,124,True,1,True,quasi_local_walk,LRW-l3
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,ora_cni,0.982246384863145,0.9820227055555831,0.9681597409606044,0.9681597409606044,0.9681597409606044,0.9731838921476593,1853,1853,1853,3706,1673,63,2096,0.565569347004857,1860,0.0,1860,59,1801,7,True,1,True,quasi_local_path,ORA-CNI-beta-0.001
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,pa,0.8569582593909071,0.8363152298354298,0.7485159201295197,0.7485159201295197,0.7485159201295197,0.7791799342838417,1853,1853,1853,3706,470,300,3536,0.9541284403669725,183,28.0,39,21,18,15,True,1,True,degree_based,PA
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,pfp,0.9826593777567698,0.9824419437390803,0.9681597409606044,0.9681597409606044,0.9681597409606044,0.9732291492532076,1853,1853,1853,3706,1698,54,2062,0.5563950350782515,1860,0.0,1860,59,1801,7,True,1,True,quasi_local_walk,PFP-l3
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,ra,0.965565142089398,0.9654219510724722,0.9390178089584458,0.9390178089584458,0.9390178089584458,0.9488934709249232,1853,1853,1853,3706,1171,139,2674,0.7215326497571506,1971,0.0,1971,127,1844,118,True,1,True,local_similarity,RA
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,ra_cni,0.9819936854513395,0.981779375578291,0.967620075553157,0.967620075553157,0.967620075553157,0.9727340786872873,1853,1853,1853,3706,1548,86,2244,0.6055045871559633,1863,0.0,1863,60,1803,10,True,1,True,enhanced_local,RA-CNI
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,sa,0.9651597214400652,0.9650943074764774,0.9390178089584458,0.9390178089584458,0.9390178089584458,0.9488451437215634,1853,1853,1853,3706,813,270,3163,0.8534808418780356,1971,0.0,1971,127,1844,118,True,1,True,local_similarity,SA
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,so,0.9650548571120455,0.9650238276984945,0.9390178089584458,0.9390178089584458,0.9390178089584458,0.948835241275503,1853,1853,1853,3706,433,220,3493,0.9425256341068537,1971,0.0,1971,127,1844,118,True,1,True,local_similarity,SO
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,srw,0.9835198941765215,0.9831024732286059,0.9681597409606044,0.9681597409606044,0.9681597409606044,0.9733327195787719,1853,1853,1853,3706,1650,68,2124,0.5731246627091203,1860,0.0,1860,59,1801,7,True,1,True,quasi_local_walk,SRW-l3
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,aa,0.9413966457605303,0.9652901364133191,0.9325418240690772,0.9325418240690772,0.9325418240690772,0.9433229540342116,1853,1853,9265,11118,1207,142,10053,0.9042093901780895,9341,0.0,9341,127,9214,76,True,5,False,local_similarity,AA
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,car_aa,0.7368150119992924,0.8420843200259552,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7487193132928145,1853,1853,9265,11118,1102,88,10104,0.9087965461413924,9847,0.0,9847,585,9262,582,True,5,False,enhanced_local,CAR-AA
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,car_cn,0.7366417950689612,0.8420781457644129,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.74871351083174,1853,1853,9265,11118,420,203,10901,0.9804821010973197,9847,0.0,9847,585,9262,582,True,5,False,enhanced_local,CAR-CN
