benchmark,network_id,network,domain,fold,family,method_id,average_precision,roc_auc,precision,recall,f1,ndcg,cutoff,positive_count,negative_count,candidate_count,method,family_scoring_seconds
revision,ego_facebook,ego-Facebook,social,1,local_similarity,cn,0.9915890840081649,0.9921230432715906,0.9710807600950119,0.9710807600950119,0.9710807600950119,0.9739588717928747,16840,16840,16840,33680,CN,0.4341260460205376
revision,ego_facebook,ego-Facebook,social,1,local_similarity,aa,0.9928186601755111,0.9931957810974886,0.9747624703087886,0.9747624703087886,0.9747624703087886,0.977286001070857,16840,16840,16840,33680,AA,0.4341260460205376
revision,ego_facebook,ego-Facebook,social,1,local_similarity,ra,0.9947091624118395,0.9943577230296601,0.976187648456057,0.976187648456057,0.976187648456057,0.9787334233740004,16840,16840,16840,33680,RA,0.4341260460205376
revision,ego_facebook,ego-Facebook,social,1,local_similarity,ja,0.988472309432305,0.9897986110719301,0.9532066508313539,0.9532066508313539,0.953206650831354,0.9573999982900508,16840,16840,16840,33680,JA,0.4341260460205376
revision,ego_facebook,ego-Facebook,social,1,local_similarity,sa,0.9892741897701637,0.9908471410396013,0.960688836104513,0.960688836104513,0.9606888361045129,0.9639839462033812,16840,16840,16840,33680,SA,0.4341260460205376
revision,ego_facebook,ego-Facebook,social,1,local_similarity,so,0.988472309432305,0.9897986110719301,0.9532066508313539,0.9532066508313539,0.953206650831354,0.9573999982900508,16840,16840,16840,33680,SO,0.4341260460205376
revision,ego_facebook,ego-Facebook,social,1,local_similarity,hpi,0.9672719036967898,0.9857718145773269,0.9574228028503563,0.9574228028503563,0.9574228028503563,0.9568511435915787,16840,16840,16840,33680,HPI,0.4341260460205376
revision,ego_facebook,ego-Facebook,social,1,local_similarity,hdi,0.9876470572953204,0.9889884888372328,0.9504156769596199,0.9504156769596199,0.9504156769596199,0.9548919537463094,16840,16840,16840,33680,HDI,0.4341260460205376
revision,ego_facebook,ego-Facebook,social,1,local_similarity,llhn,0.9108301349363318,0.9579451178056994,0.9307600950118765,0.9307600950118765,0.9307600950118765,0.9255815256091968,16840,16840,16840,33680,LLHN,0.4341260460205376
revision,ego_facebook,ego-Facebook,social,2,local_similarity,cn,0.9927432845427151,0.9929548281917653,0.9715541302927727,0.9715541302927727,0.9715541302927727,0.9744840707299527,16839,16839,16839,33678,CN,0.4655438340269029
revision,ego_facebook,ego-Facebook,social,2,local_similarity,aa,0.9938643974987655,0.9939393216101683,0.9750579013005523,0.9750579013005523,0.9750579013005523,0.9776468738589965,16839,16839,16839,33678,AA,0.4655438340269029
revision,ego_facebook,ego-Facebook,social,2,local_similarity,ra,0.9952777663147482,0.9949653682649536,0.9774927252212127,0.9774927252212127,0.9774927252212127,0.979923668701962,16839,16839,16839,33678,RA,0.4655438340269029
revision,ego_facebook,ego-Facebook,social,2,local_similarity,ja,0.9906861700808467,0.9909960740488158,0.956410713225251,0.956410713225251,0.956410713225251,0.9610360702717673,16839,16839,16839,33678,JA,0.4655438340269029
revision,ego_facebook,ego-Facebook,social,2,local_similarity,sa,0.9913200846673877,0.9919259513674747,0.9624086941029752,0.9624086941029752,0.9624086941029752,0.9662991081767499,16839,16839,16839,33678,SA,0.4655438340269029
revision,ego_facebook,ego-Facebook,social,2,local_similarity,so,0.9906861700808467,0.9909960740488158,0.956410713225251,0.956410713225251,0.956410713225251,0.9610360702717673,16839,16839,16839,33678,SO,0.4655438340269029
revision,ego_facebook,ego-Facebook,social,2,local_similarity,hpi,0.9697807893522641,0.9871020799749758,0.9599738701823148,0.9599738701823148,0.9599738701823148,0.9592559539061485,16839,16839,16839,33678,HPI,0.4655438340269029
revision,ego_facebook,ego-Facebook,social,2,local_similarity,hdi,0.9900402221507169,0.9902265553686727,0.9532632579131778,0.9532632579131778,0.9532632579131778,0.9582389059869979,16839,16839,16839,33678,HDI,0.4655438340269029
revision,ego_facebook,ego-Facebook,social,2,local_similarity,llhn,0.9131391397852696,0.9598404995464659,0.9352099293307203,0.9352099293307203,0.9352099293307203,0.9297040684648944,16839,16839,16839,33678,LLHN,0.4655438340269029
revision,ego_facebook,ego-Facebook,social,3,local_similarity,cn,0.9928313864374904,0.9929434793002161,0.9722073757349011,0.9722073757349011,0.9722073757349011,0.9750786761961521,16839,16839,16839,33678,CN,0.41695364098995924
