benchmark,network_id,network,domain,family,method_id,method,parameter,parameter_value,is_primary,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ndcg_mean,ndcg_std
standard,socfb_middlebury45,socfb-Middlebury45,social,quasi_local_path,lpi,LPI-beta-0.1,beta,0.1,False,0.9105585292516194,0.0008026863525667958,0.9189819613220525,0.0007344462181875061,0.8410139838204108,0.0012673557913477455,0.8410139838204108,0.0012673557913477455,0.8410139838204108,0.0012673557913477971,0.8526191778365657,0.001165801087276028
standard,socfb_middlebury45,socfb-Middlebury45,social,quasi_local_path,lpi,LPI-beta-0.01,beta,0.01,False,0.9356972720875358,0.0005301551062054889,0.9413929916640456,0.0006778330018775735,0.8698689252385151,0.0017447873238583347,0.8698689252385151,0.0017447873238583347,0.8698689252385151,0.0017447873238583347,0.880185658730244,0.0015564725384608344
standard,socfb_middlebury45,socfb-Middlebury45,social,quasi_local_path,lpi,LPI-beta-0.001,beta,0.001,True,0.9467272601170965,0.000516758567143736,0.9502320335800217,0.0006983208325608201,0.8812644440368841,0.0020586902809294058,0.8812644440368841,0.0020586902809294058,0.8812644440368841,0.002058690280929434,0.8912239256608224,0.0018185774656005625
standard,socfb_middlebury45,socfb-Middlebury45,social,quasi_local_path,ora_cni,ORA-CNI-beta-0.1,beta,0.1,False,0.9177265803727345,0.0009361097828914583,0.9278441938962059,0.0006556205322308361,0.8538411503761003,0.0011500107241850328,0.8538411503761003,0.0011500107241850328,0.8538411503761004,0.001150010724185004,0.8643131730157163,0.0010527487709286808
standard,socfb_middlebury45,socfb-Middlebury45,social,quasi_local_path,ora_cni,ORA-CNI-beta-0.01,beta,0.01,False,0.9176911282752697,0.0009361810611534493,0.9278163812897502,0.0006555495901959095,0.8538082390617971,0.001163627248243653,0.8538082390617971,0.001163627248243653,0.8538082390617971,0.001163627248243653,0.8642807771975054,0.0010646966074292791
standard,socfb_middlebury45,socfb-Middlebury45,social,quasi_local_path,ora_cni,ORA-CNI-beta-0.001,beta,0.001,True,0.9176875283155731,0.0009363450451412612,0.9278135962400464,0.0006555901840484687,0.8538000113178444,0.0011715163915607528,0.8538000113178444,0.0011715163915607528,0.8538000113178444,0.0011715163915607528,0.8642731613326811,0.0010729561722801228
standard,socfb_middlebury45,socfb-Middlebury45,social,enhanced_local,lit,LIT-i2,iterations,2.0,True,0.9503963138409409,0.0011283124073998177,0.951942769099863,0.0010494873454214152,0.8858637833707421,0.002408318036600705,0.8858637833707421,0.002408318036600705,0.8858637833707421,0.0024083180366007138,0.8958255165467459,0.0021551883226975516
standard,socfb_middlebury45,socfb-Middlebury45,social,enhanced_local,lit,LIT-i4,iterations,4.0,False,0.9469150057466932,0.001171637890571245,0.9483849054407232,0.0011218070738864636,0.8804169752395039,0.0019420471318664769,0.8804169752395039,0.0019420471318664769,0.8804169752395037,0.0019420471318664905,0.8907822060620413,0.0017546820214470141
standard,socfb_middlebury45,socfb-Middlebury45,social,enhanced_local,lit,LIT-i6,iterations,6.0,False,0.9461138315689464,0.0011754269816010422,0.9475292428157192,0.001127140850086875,0.8788948317765023,0.0017671663796460008,0.8788948317765023,0.0017671663796460008,0.8788948317765023,0.0017671663796460008,0.8893868132683916,0.0016080963738344682
standard,socfb_middlebury45,socfb-Middlebury45,social,quasi_local_walk,lrw,LRW-l3,steps,3.0,True,0.9318202147275791,0.0010197811671464332,0.9386583006402622,0.0008159599907308222,0.8663227449159248,0.001547572405888284,0.8663227449159248,0.001547572405888284,0.8663227449159248,0.001547572405888284,0.8766586473051895,0.0014071187327561348
