benchmark,network_id,network,domain,fold,family,method_id,average_precision,roc_auc,precision,recall,f1,ndcg,cutoff,positive_count,negative_count,candidate_count,method,family_scoring_seconds
revision,ego_facebook,ego-Facebook,social,1,quasi_local_walk,lrw,0.9944506141526925,0.995198816512545,0.973396674584323,0.973396674584323,0.973396674584323,0.9761667961388251,16840,16840,16840,33680,LRW-l3,32.88523009605706
revision,ego_facebook,ego-Facebook,social,1,quasi_local_walk,srw,0.995554220858211,0.9961823043906319,0.9761282660332542,0.9761282660332542,0.9761282660332542,0.9786493077936171,16840,16840,16840,33680,SRW-l3,32.88523009605706
revision,ego_facebook,ego-Facebook,social,1,quasi_local_walk,pfp,0.9848031114865106,0.9898938662611922,0.9614608076009501,0.9614608076009501,0.9614608076009501,0.9646170226403127,16840,16840,16840,33680,PFP-l3,32.88523009605706
revision,ego_facebook,ego-Facebook,social,2,quasi_local_walk,lrw,0.995014678143835,0.9956767670778713,0.9739889542134331,0.9739889542134331,0.9739889542134331,0.9767290278984254,16839,16839,16839,33678,LRW-l3,33.15831731213257
revision,ego_facebook,ego-Facebook,social,2,quasi_local_walk,srw,0.9960675178161966,0.9965986388080228,0.9768988657283687,0.9768988657283687,0.9768988657283687,0.9793717931643768,16839,16839,16839,33678,SRW-l3,33.15831731213257
revision,ego_facebook,ego-Facebook,social,2,quasi_local_walk,pfp,0.9858571773622331,0.9905321378513954,0.9637745709365164,0.9637745709365164,0.9637745709365164,0.9667592613584669,16839,16839,16839,33678,PFP-l3,33.15831731213257
revision,ego_facebook,ego-Facebook,social,3,quasi_local_walk,lrw,0.9953170667558764,0.9958846496405855,0.9747609715541303,0.9747609715541303,0.9747609715541303,0.9774430245842712,16839,16839,16839,33678,LRW-l3,33.37727181566879
revision,ego_facebook,ego-Facebook,social,3,quasi_local_walk,srw,0.9962117854055104,0.9966779276378098,0.9777302690183503,0.9777302690183503,0.9777302690183503,0.9801208764738425,16839,16839,16839,33678,SRW-l3,33.37727181566879
revision,ego_facebook,ego-Facebook,social,3,quasi_local_walk,pfp,0.9847867325120107,0.9904094442724652,0.9630025535958192,0.9630025535958192,0.9630025535958192,0.965888393620671,16839,16839,16839,33678,PFP-l3,33.37727181566879
revision,ego_facebook,ego-Facebook,social,4,quasi_local_walk,lrw,0.9951347797607372,0.9959599392028099,0.9754736029455431,0.9754736029455431,0.9754736029455431,0.9780272582982525,16839,16839,16839,33678,LRW-l3,32.9659926192835
revision,ego_facebook,ego-Facebook,social,4,quasi_local_walk,srw,0.9959924379060716,0.9966845331300013,0.9780271987647723,0.9780271987647723,0.9780271987647723,0.9803423044143245,16839,16839,16839,33678,SRW-l3,32.9659926192835
revision,ego_facebook,ego-Facebook,social,4,quasi_local_walk,pfp,0.984785129132222,0.990266019040654,0.9644872023279292,0.9644872023279292,0.9644872023279292,0.9672468776762719,16839,16839,16839,33678,PFP-l3,32.9659926192835
revision,ego_facebook,ego-Facebook,social,5,quasi_local_walk,lrw,0.9942603227147259,0.9950342639364451,0.9717916740899103,0.9717916740899103,0.9717916740899103,0.974739249286229,16839,16839,16839,33678,LRW-l3,32.84316343907267
revision,ego_facebook,ego-Facebook,social,5,quasi_local_walk,srw,0.9954464271538837,0.9960633505988484,0.974404655858424,0.974404655858424,0.974404655858424,0.9771281198217195,16839,16839,16839,33678,SRW-l3,32.84316343907267
revision,ego_facebook,ego-Facebook,social,5,quasi_local_walk,pfp,0.9838689597826238,0.9895852477754858,0.9612803610665717,0.9612803610665717,0.9612803610665717,0.9643284852505912,16839,16839,16839,33678,PFP-l3,32.84316343907267
revision,socfb_middlebury45,socfb-Middlebury45,social,1,quasi_local_walk,lrw,0.9304066010635507,0.9376045552714167,0.8645713345400691,0.8645713345400691,0.8645713345400691,0.8749731315989346,24308,24308,24308,48616,LRW-l3,120.52799590304494
revision,socfb_middlebury45,socfb-Middlebury45,social,1,quasi_local_walk,srw,0.9504193520918426,0.9543010705828869,0.8880204048050024,0.8880204048050024,0.8880204048050024,0.8974059527423389,24308,24308,24308,48616,SRW-l3,120.52799590304494
revision,socfb_middlebury45,socfb-Middlebury45,social,1,quasi_local_walk,pfp,0.916354474018338,0.9336333038983096,0.8617739015961823,0.8617739015961823,0.8617739015961824,0.870108726547821,24308,24308,24308,48616,PFP-l3,120.52799590304494
