benchmark,network_id,network,domain,family,analysis_family,method_id,method,fold_count,mean_distinct_score_count,mean_tie_group_count,mean_tied_candidate_count,mean_tied_candidate_ratio,mean_largest_tie_group,mean_cutoff_tie_size,cutoff_boundary_tie_count,cutoff_boundary_tie_rate
standard,ca_hepth,ca-HepTh,scientific_collaboration,enhanced_local,enhanced_local,car_cn,CAR-CN,5,184.4,93.8,6377.0,0.9859915937243496,4910.4,4910.4,5,1.0
standard,ca_hepth,ca-HepTh,scientific_collaboration,enhanced_local,enhanced_local,car_ra,CAR-RA,5,1073.4,207.2,5601.4,0.8660708284100975,4910.4,4910.4,5,1.0
standard,ca_hepth,ca-HepTh,scientific_collaboration,enhanced_local,enhanced_local,fsw,FSW,5,956.0,421.4,5933.0,0.91734206097027,3631.2,3631.2,5,1.0
standard,ca_hepth,ca-HepTh,scientific_collaboration,enhanced_local,enhanced_local,ia1,IA1,5,1370.2,261.2,5358.6,0.8285298620193234,3631.2,3631.2,5,1.0
standard,ca_hepth,ca-HepTh,scientific_collaboration,enhanced_local,enhanced_local,ia2,IA2,5,1366.8,257.2,5358.0,0.8284371263338167,3631.2,3631.2,5,1.0
standard,ca_hepth,ca-HepTh,scientific_collaboration,enhanced_local,enhanced_local,lit,LIT-i2,5,2397.0,60.0,4130.6,0.6386605279009503,3945.0,3945.0,5,1.0
standard,ca_hepth,ca-HepTh,scientific_collaboration,enhanced_local,enhanced_local,ra_cni,RA-CNI,5,2443.6,172.6,4196.6,0.6488650016708875,3358.8,3358.8,5,1.0
standard,ca_hepth,ca-HepTh,scientific_collaboration,local_bayesian,local_bayesian,lnb_aa,LNB-AA,5,1965.2,291.2,4793.6,0.7411718324537024,3631.2,3631.2,5,1.0
standard,ca_hepth,ca-HepTh,scientific_collaboration,local_bayesian,local_bayesian,lnb_cn,LNB-CN,5,1938.6,293.4,4822.4,0.7456247426001303,3631.2,3631.2,5,1.0
standard,ca_hepth,ca-HepTh,scientific_collaboration,local_bayesian,local_bayesian,lnb_ra,LNB-RA,5,1965.2,291.2,4793.6,0.7411718324537024,3631.2,3631.2,5,1.0
standard,ca_hepth,ca-HepTh,scientific_collaboration,local_similarity,standard_local,aa,AA,5,1356.6,280.8,5391.8,0.8336633312043148,3631.2,3631.2,5,1.0
standard,ca_hepth,ca-HepTh,scientific_collaboration,local_similarity,standard_local,cn,CN,5,26.8,25.4,6466.2,0.9997835402192259,3631.2,3631.2,5,1.0
standard,ca_hepth,ca-HepTh,scientific_collaboration,local_similarity,standard_local,hdi,HDI,5,245.8,177.0,6398.8,0.9893622336598785,3631.2,3631.2,5,1.0
standard,ca_hepth,ca-HepTh,scientific_collaboration,local_similarity,standard_local,hpi,HPI,5,167.6,117.4,6417.4,0.9922382354510851,3631.2,3631.2,5,1.0
standard,ca_hepth,ca-HepTh,scientific_collaboration,local_similarity,standard_local,ja,JA,5,315.8,208.2,6360.0,0.9833632983604261,3631.2,3631.2,5,1.0
standard,ca_hepth,ca-HepTh,scientific_collaboration,local_similarity,standard_local,llhn,LLHN,5,630.0,312.2,6149.8,0.9508626924605007,3631.2,3631.2,5,1.0
