benchmark,network_id,network,domain,negative_ratio,is_primary_ratio,family,method_id,method,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ndcg_mean,ndcg_std
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,True,local_similarity,aa,AA,0.9667049271219333,0.0037345049531455348,0.9665936336956247,0.0037576029622871008,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9482366814312913,0.005007428888216474
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,True,enhanced_local,car_aa,CAR-AA,0.8506057809214045,0.008656058133259679,0.8504962853953376,0.008577789566053151,0.7729087965461414,0.01086323811340411,0.7729087965461414,0.01086323811340411,0.7729087965461414,0.010863238113404132,0.8062599352675346,0.009526811827318207
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,True,enhanced_local,car_cn,CAR-CN,0.8504856860755581,0.008565048855124205,0.8504570555354437,0.00854971645048597,0.7729087965461414,0.01086323811340411,0.7729087965461414,0.01086323811340411,0.7729087965461414,0.010863238113404132,0.8062516477149126,0.009520794418081197
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,True,enhanced_local,car_ra,CAR-RA,0.8506555928706685,0.00866155962588055,0.8505251180317852,0.00858244424909574,0.7729087965461414,0.01086323811340411,0.7729087965461414,0.01086323811340411,0.7729087965461414,0.010863238113404132,0.8062663765787288,0.00952635450500402
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,True,local_similarity,cn,CN,0.965784431946364,0.003998439435667958,0.9662382059226895,0.0038695488002414256,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9481880451175275,0.005020116074504968
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,True,quasi_local_path,fl,FL-l3,0.9820305938209868,0.0031636655250474564,0.981985630862454,0.0031281722276434716,0.9676200755531571,0.005004651103883274,0.9676200755531571,0.005004651103883274,0.9676200755531571,0.005004651103883274,0.9727529013024458,0.0042544106318682775
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,True,enhanced_local,fsw,FSW,0.966183580847157,0.0036798159223167468,0.9662230906314611,0.0037088809323991122,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9481813986007109,0.005002438676116369
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,True,local_similarity,hdi,HDI,0.965650561115863,0.003965857575319183,0.9659188043833762,0.003806728363265711,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9481083554626956,0.0050334067103924305
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,True,local_similarity,hpi,HPI,0.9635043098596178,0.005891573019193766,0.9654420174224846,0.004344371110866322,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.947731710516436,0.005261982598217626
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,True,enhanced_local,ia1,IA1,0.9667321110171475,0.0037084768344434913,0.9666166124331571,0.003735351624889075,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9482399043146916,0.005002605668252711
