benchmark,network_id,network,domain,family,method_id,method,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ndcg_mean,ndcg_std,distinct_score_count_mean,distinct_score_count_std,tie_group_count_mean,tie_group_count_std,tied_candidate_count_mean,tied_candidate_count_std,tied_candidate_ratio_mean,tied_candidate_ratio_std,largest_tie_group_mean,largest_tie_group_std,cutoff_tie_size_mean,cutoff_tie_size_std,cutoff_tie_positive_count_mean,cutoff_tie_positive_count_std,cutoff_tie_negative_count_mean,cutoff_tie_negative_count_std,cutoff_slots_in_tie_mean,cutoff_slots_in_tie_std,cutoff_tie_crosses_boundary_mean,cutoff_tie_crosses_boundary_std
standard,ego_facebook,ego-Facebook,social,quasi_local_walk,lrw,LRW-l3,0.9948354923055733,0.0004562197243207621,0.9955508872740515,0.00041395048520697123,0.973882375477468,0.0014073230437234622,0.973882375477468,0.0014073230437234622,0.973882375477468,0.0014073230437234622,0.9766210712412006,0.0012661204243965116,20270.4,42.62980178232111,196.4,7.602631123499286,13604.4,43.171750022439404,0.40395030468095283,0.0012811641812552799,11425.0,392.9866409943217,1.0,0.0,0.6,0.5477225575051662,0.4,0.5477225575051662,1.0,0.0,0.0,0.0
standard,ego_facebook,ego-Facebook,social,quasi_local_walk,srw,SRW-l3,0.9958544778279746,0.00033494302695099497,0.9964413509130627,0.0002957342377700685,0.976637851080634,0.001452466041376812,0.976637851080634,0.001452466041376812,0.976637851080634,0.001452466041376812,0.9791224803335761,0.001298873418803606,20275.2,43.711554536529356,195.8,7.259476565152618,13599.0,44.671019688384085,0.4037899636758294,0.001325384269234117,11420.4,391.0598419679525,1.0,0.0,0.6,0.5477225575051662,0.4,0.5477225575051662,1.0,0.0,0.0,0.0
standard,ego_facebook,ego-Facebook,social,quasi_local_walk,pfp,PFP-l3,0.9848202220551201,0.0007040635721151072,0.9901373430402385,0.00039068838601743366,0.9628010991055573,0.0014089181039321046,0.9628010991055573,0.0014089181039321046,0.9628010991055573,0.0014089181039321046,0.9657680081092627,0.0012826851213385223,21549.4,193.87315440772122,407.2,116.3838476765569,12536.2,102.90383860673046,0.3722326098262728,0.0030496929830860853,11420.4,391.0598419679525,1.0,0.0,0.8,0.4472135954999579,0.2,0.447213595499958,1.0,0.0,0.0,0.0
standard,socfb_middlebury45,socfb-Middlebury45,social,quasi_local_walk,lrw,LRW-l3,0.9318202147275791,0.0010197811671464332,0.9386583006402622,0.0008159599907308222,0.8663227449159248,0.001547572405888284,0.8663227449159248,0.001547572405888284,0.8663227449159248,0.001547572405888284,0.8766586473051895,0.0014071187327561348,46533.4,19.667231630303146,102.0,6.633249580710799,2184.2,19.954949260772377,0.0449279627793883,0.0004100888330017107,1940.4,29.946619174791667,1.0,0.0,0.2,0.447213595499958,0.8,0.4472135954999579,1.0,0.0,0.0,0.0
standard,socfb_middlebury45,socfb-Middlebury45,social,quasi_local_walk,srw,SRW-l3,0.9514148095183808,0.0009788946922131404,0.9554067386339689,0.000937237260229134,0.8905042888422781,0.0019519406258782129,0.8905042888422781,0.0019519406258782129,0.8905042888422781,0.0019519406258781925,0.8996724750580294,0.0017740682802072445,46537.2,20.315019074566656,101.6,7.021395872616782,2180.0,20.77257807784101,0.04484157062165397,0.0004269047610393431,1937.2,30.63005060394122,1.0,0.0,0.4,0.5477225575051662,0.6,0.5477225575051662,1.0,0.0,0.0,0.0
standard,socfb_middlebury45,socfb-Middlebury45,social,quasi_local_walk,pfp,PFP-l3,0.9181404715493571,0.002466114279895209,0.9348234775639359,0.0015254488969208607,0.8639531583809943,0.0022612369554727953,0.8639531583809943,0.0022612369554727953,0.8639531583809943,0.0022612369554727884,0.8723759583934264,0.0022926732744357695,46659.2,32.29086558146097,20.4,5.594640292279746,1976.8,34.383135400949115,0.04066184995279955,0.0007075873016327832,1937.2,30.63005060394122,1.0,0.0,0.6,0.5477225575051661,0.4,0.5477225575051661,1.0,0.0,0.0,0.0
standard,ca_grqc,ca-GrQc,scientific_collaboration,quasi_local_walk,lrw,LRW-l3,0.9534237051067892,0.004969398233179982,0.9524259459944332,0.005174745511766024,0.9137614678899082,0.008258820479784672,0.9137614678899082,0.008258820479784672,0.9137614678899082,0.008258820479784672,0.9274802460168964,0.007021024090259118,1589.6,12.70039369468523,68.0,6.782329983125267,2184.4,15.709869509324404,0.5894225580140313,0.0042390365648474,1971.2,11.45425685062108,1971.2,11.45425685062108,167.6,17.242389625571047,1803.6,6.2689712074629975,118.2,11.454256850621082,1.0,0.0
standard,ca_grqc,ca-GrQc,scientific_collaboration,quasi_local_walk,srw,SRW-l3,0.9830306537905141,0.0028679149873342786,0.9826687022313839,0.0029212844917775403,0.9677280086346466,0.0052238942429918955,0.9677280086346466,0.0052238942429918955,0.9677280086346466,0.0052238942429918955,0.9729435889688958,0.004400893506398309,1666.8,14.342245291445812,63.6,5.941380311005179,2102.8,16.843396332094063,0.5674042093901781,0.0045448991721786375,1863.2,8.983317872590291,1493.4,834.2926944424241,51.2,28.873863614002197,1442.2,805.6765480017399,11.0,7.582875444051551,0.8,0.4472135954999579
standard,ca_grqc,ca-GrQc,scientific_collaboration,quasi_local_walk,pfp,PFP-l3,0.9810902095099152,0.0039359048233712475,0.9815711689944895,0.0032541197698459333,0.9675121424716675,0.00478753483350607,0.9675121424716675,0.00478753483350607,0.9675121424716675,0.00478753483350607,0.9724936590610757,0.004161737124625949,1702.8,10.663020210053057,58.2,5.630275304103698,2061.4,11.588787684654498,0.5562331354560173,0.003127033913830129,1863.2,8.983317872590291,1493.4,834.2926944424241,51.2,28.873863614002197,1442.2,805.6765480017399,11.0,7.582875444051551,0.8,0.4472135954999579
standard,ca_hepth,ca-HepTh,scientific_collaboration,quasi_local_walk,lrw,LRW-l3,0.9259987412329919,0.0025691869432390288,0.924766876376966,0.002559642283333407,0.8718532274141836,0.004244358082872361,0.8718532274141836,0.004244358082872361,0.8718532274141836,0.004244358082872361,0.8900501559926507,0.0036525645555173123,2519.4,17.55847373777118,150.6,3.507135583350039,4098.8,14.805404418657352,0.6337436428329452,0.002307861529159116,3625.8,22.532199182503177,3625.8,22.532199182503177,467.2,17.58408371226661,3158.6,7.402702209328753,392.0,22.770595073471405,1.0,0.0
