benchmark,network_id,network,domain,fold,family,analysis_family,candidate_count,family_scoring_seconds,method_count,candidates_per_second
standard,ca_hepth,ca-HepTh,scientific_collaboration,3,degree_based,standard_local,6468,0.0165768307633698,1,390183.1473294936
standard,ca_hepth,ca-HepTh,scientific_collaboration,3,enhanced_local,enhanced_local,6468,0.7566529377363622,8,8548.17271885571
standard,ca_hepth,ca-HepTh,scientific_collaboration,3,local_bayesian,local_bayesian,6468,0.1468240558169782,3,44052.726673499674
standard,ca_hepth,ca-HepTh,scientific_collaboration,3,local_similarity,standard_local,6468,0.0648691090755164,9,99708.47591679383
standard,ca_hepth,ca-HepTh,scientific_collaboration,3,quasi_local_path,quasi_local_path,6468,0.327655772678554,3,19740.229043195945
standard,ca_hepth,ca-HepTh,scientific_collaboration,3,quasi_local_walk,quasi_local_walk,6468,2.285166298039257,3,2830.428579989886
standard,ca_hepth,ca-HepTh,scientific_collaboration,4,degree_based,standard_local,6468,0.0101769673638045,1,635552.789822649
standard,ca_hepth,ca-HepTh,scientific_collaboration,4,enhanced_local,enhanced_local,6468,0.7885731710121036,8,8202.155789422266
standard,ca_hepth,ca-HepTh,scientific_collaboration,4,local_bayesian,local_bayesian,6468,0.1373128239065408,3,47104.121931119225
standard,ca_hepth,ca-HepTh,scientific_collaboration,4,local_similarity,standard_local,6468,0.0617500650696456,9,104744.82889540252
standard,ca_hepth,ca-HepTh,scientific_collaboration,4,quasi_local_path,quasi_local_path,6468,0.282158259768039,3,22923.305542489925
standard,ca_hepth,ca-HepTh,scientific_collaboration,4,quasi_local_walk,quasi_local_walk,6468,2.364394854754209,3,2735.5836894140007
standard,ca_hepth,ca-HepTh,scientific_collaboration,5,degree_based,standard_local,6466,0.0093542798422276,1,691234.3984847268
standard,ca_hepth,ca-HepTh,scientific_collaboration,5,enhanced_local,enhanced_local,6466,0.8091470380313694,8,7991.131025742348
standard,ca_hepth,ca-HepTh,scientific_collaboration,5,local_bayesian,local_bayesian,6466,0.152884887997061,3,42293.257919149604
standard,ca_hepth,ca-HepTh,scientific_collaboration,5,local_similarity,standard_local,6466,0.0666406280361116,9,97027.8971034932
standard,ca_hepth,ca-HepTh,scientific_collaboration,5,quasi_local_path,quasi_local_path,6466,0.2628686889074743,3,24597.83257897228
standard,ca_hepth,ca-HepTh,scientific_collaboration,5,quasi_local_walk,quasi_local_walk,6466,2.0195057978853583,3,3201.773427325935
standard,ego_facebook,ego-Facebook,social,1,degree_based,standard_local,33680,0.0397841390222311,1,846568.5277537324
standard,ego_facebook,ego-Facebook,social,1,enhanced_local,enhanced_local,33680,83.39429759513587,8,403.86454435422274
standard,ego_facebook,ego-Facebook,social,1,local_bayesian,local_bayesian,33680,1.0672585451975465,3,31557.489187182782
standard,ego_facebook,ego-Facebook,social,1,local_similarity,standard_local,33680,0.7855688920244575,9,42873.388116482885
standard,ego_facebook,ego-Facebook,social,1,quasi_local_path,quasi_local_path,33680,88.78459703782573,3,379.3450792557069
standard,ego_facebook,ego-Facebook,social,1,quasi_local_walk,quasi_local_walk,33680,42.009354766923934,3,801.7261913891128
standard,ego_facebook,ego-Facebook,social,2,degree_based,standard_local,33678,0.0320513374172151,1,1050751.7849133871
standard,ego_facebook,ego-Facebook,social,2,enhanced_local,enhanced_local,33678,82.84517281129956,8,406.5173486536144
standard,ego_facebook,ego-Facebook,social,2,local_bayesian,local_bayesian,33678,1.293890530243516,3,26028.47707190627
standard,ego_facebook,ego-Facebook,social,2,local_similarity,standard_local,33678,0.6508068665862083,9,51748.07109312957
standard,ego_facebook,ego-Facebook,social,2,quasi_local_path,quasi_local_path,33678,85.56122657796368,3,393.61287053677864
standard,ego_facebook,ego-Facebook,social,2,quasi_local_walk,quasi_local_walk,33678,43.30735694011673,3,777.650782211629
standard,ego_facebook,ego-Facebook,social,3,degree_based,standard_local,33678,0.0321711143478751,1,1046839.7095553027
standard,ego_facebook,ego-Facebook,social,3,enhanced_local,enhanced_local,33678,84.76023428700864,8,397.33254967137213
standard,ego_facebook,ego-Facebook,social,3,local_bayesian,local_bayesian,33678,1.1051263851113615,3,30474.342531063838
standard,ego_facebook,ego-Facebook,social,3,local_similarity,standard_local,33678,0.7977910903282464,9,42214.058803468695
standard,ego_facebook,ego-Facebook,social,3,quasi_local_path,quasi_local_path,33678,82.41425493918359,3,408.6428983050589
standard,ego_facebook,ego-Facebook,social,3,quasi_local_walk,quasi_local_walk,33678,42.59627937618643,3,790.6324330013616
standard,ego_facebook,ego-Facebook,social,4,degree_based,standard_local,33678,0.0608354127034544,1,553592.0363385268
standard,ego_facebook,ego-Facebook,social,4,enhanced_local,enhanced_local,33678,83.54354744497687,8,403.1191041077215
standard,ego_facebook,ego-Facebook,social,4,local_bayesian,local_bayesian,33678,1.0687980242073536,3,31510.163040370902
standard,ego_facebook,ego-Facebook,social,4,local_similarity,standard_local,33678,0.6243621269240975,9,53939.85084571628
standard,ego_facebook,ego-Facebook,social,4,quasi_local_path,quasi_local_path,33678,81.82960817869753,3,411.5625230228989
standard,ego_facebook,ego-Facebook,social,4,quasi_local_walk,quasi_local_walk,33678,44.76458371384069,3,752.335824572566
standard,ego_facebook,ego-Facebook,social,5,degree_based,standard_local,33678,0.0344579499214887,1,977365.1675951184
standard,ego_facebook,ego-Facebook,social,5,enhanced_local,enhanced_local,33678,86.86475173290819,8,387.70616767032436
standard,ego_facebook,ego-Facebook,social,5,local_bayesian,local_bayesian,33678,0.967139129061252,3,34822.29080389846
standard,ego_facebook,ego-Facebook,social,5,local_similarity,standard_local,33678,0.756865831092,9,44496.6579498108
standard,ego_facebook,ego-Facebook,social,5,quasi_local_path,quasi_local_path,33678,86.79066780628636,3,388.03711103097027
standard,ego_facebook,ego-Facebook,social,5,quasi_local_walk,quasi_local_walk,33678,45.85431523201987,3,734.4565027215323
standard,email_eu_core,email-Eu-core,communication,1,degree_based,standard_local,6032,0.0080918096937239,1,745445.1140488992
standard,email_eu_core,email-Eu-core,communication,1,enhanced_local,enhanced_local,6032,3.5948285153135657,8,1677.9659931772426
standard,email_eu_core,email-Eu-core,communication,1,local_bayesian,local_bayesian,6032,0.1381589421071112,3,43659.8594922907
standard,email_eu_core,email-Eu-core,communication,1,local_similarity,standard_local,6032,0.0537605779245495,9,112201.17478025692
standard,email_eu_core,email-Eu-core,communication,1,quasi_local_path,quasi_local_path,6032,2.9993095910176635,3,2011.1295006239575
standard,email_eu_core,email-Eu-core,communication,1,quasi_local_walk,quasi_local_walk,6032,7.314882548060268,3,824.6202123367711
standard,email_eu_core,email-Eu-core,communication,2,degree_based,standard_local,6032,0.0109525262378156,1,550740.5204082887
standard,email_eu_core,email-Eu-core,communication,2,enhanced_local,enhanced_local,6032,3.627186341676861,8,1662.9969987181262
standard,email_eu_core,email-Eu-core,communication,2,local_bayesian,local_bayesian,6032,0.1006924640387296,3,59905.1781837407
standard,email_eu_core,email-Eu-core,communication,2,local_similarity,standard_local,6032,0.0529638710431754,9,113888.95639978426
standard,email_eu_core,email-Eu-core,communication,2,quasi_local_path,quasi_local_path,6032,3.1695636371150613,3,1903.1010860189986
standard,email_eu_core,email-Eu-core,communication,2,quasi_local_walk,quasi_local_walk,6032,7.8536515068262815,3,768.0503769179307
standard,email_eu_core,email-Eu-core,communication,3,degree_based,standard_local,6032,0.0090420800261199,1,667103.1424821869
standard,email_eu_core,email-Eu-core,communication,3,enhanced_local,enhanced_local,6032,2.9934543478302658,8,2015.0633011564555
standard,email_eu_core,email-Eu-core,communication,3,local_bayesian,local_bayesian,6032,0.1955596799962222,3,30844.8040010933
standard,email_eu_core,email-Eu-core,communication,3,local_similarity,standard_local,6032,0.0778155839070677,9,77516.60653480151
