benchmark,family,method_id,method,parameter,parameter_value,is_primary,network_count,average_precision_mean,average_precision_sd_across_networks,roc_auc_mean,roc_auc_sd_across_networks,precision_mean,precision_sd_across_networks,recall_mean,recall_sd_across_networks,f1_mean,f1_sd_across_networks,ndcg_mean,ndcg_sd_across_networks
standard,quasi_local_path,lpi,LPI-beta-0.1,beta,0.1,False,8,0.9100954747842206,0.07928748621031644,0.9126245103889065,0.07955342235005605,0.8569103750221312,0.10034150242436174,0.8569103750221312,0.10034150242436174,0.8569103750221312,0.10034150242436174,0.8805969445254527,0.07884795356351641
standard,quasi_local_path,lpi,LPI-beta-0.01,beta,0.01,False,8,0.9159750625304449,0.08094432028379647,0.9176723496264376,0.08127591010896633,0.8653226337645089,0.10289574497326524,0.8653226337645089,0.10289574497326524,0.8653226337645089,0.10289574497326524,0.8884614298653515,0.08026277059300058
standard,quasi_local_path,lpi,LPI-beta-0.001,beta,0.001,True,8,0.9180014231522623,0.08175590942330883,0.9192026666445591,0.0819491604660309,0.8670158003438897,0.10324554005392157,0.8670158003438897,0.10324554005392157,0.8670158003438897,0.10324554005392157,0.8901486451808709,0.08038458751238603
standard,quasi_local_path,ora_cni,ORA-CNI-beta-0.1,beta,0.1,False,8,0.9123640193508274,0.07971508846768156,0.9144142075657362,0.08017524272788012,0.8597388273788141,0.1008142643612366,0.8597388273788141,0.1008142643612366,0.8597388273788141,0.1008142643612366,0.8832115688519794,0.07888093136841955
standard,quasi_local_path,ora_cni,ORA-CNI-beta-0.01,beta,0.01,False,8,0.9123358746111085,0.0796857537560096,0.9143872916430709,0.0801609055003422,0.8596752198645011,0.10078903028783541,0.8596752198645011,0.10078903028783541,0.8596752198645011,0.10078903028783541,0.8831560225518748,0.07885554588350598
standard,quasi_local_path,ora_cni,ORA-CNI-beta-0.001,beta,0.001,True,8,0.9123320077276693,0.0796842456173237,0.9143843399397288,0.08015964947710645,0.8596712220990428,0.10078597676115408,0.8596712220990428,0.10078597676115408,0.8596712220990428,0.10078597676115408,0.8831520444149341,0.07885292652078121
standard,enhanced_local,lit,LIT-i2,iterations,2.0,True,8,0.8420465096694254,0.16065434274368262,0.8423867431909272,0.16098594442846542,0.7875715328790895,0.15890793020441382,0.7875715328790895,0.15890793020441382,0.7875715328790895,0.15890793020441382,0.8183469235653112,0.1332552306622287
standard,enhanced_local,lit,LIT-i4,iterations,4.0,False,8,0.8408642279573363,0.15967170810454187,0.8412020184182623,0.1600026957368264,0.7843567579953155,0.15554450540990558,0.7843567579953155,0.15554450540990558,0.7843567579953155,0.15554450540990558,0.8154573128824465,0.13025233083826146
standard,enhanced_local,lit,LIT-i6,iterations,6.0,False,8,0.840471141328625,0.1593422741779499,0.840809968674577,0.15967032867406375,0.7828155991567616,0.1538126496928921,0.7828155991567616,0.1538126496928921,0.7828155991567616,0.1538126496928921,0.8140766168856528,0.12870307300369047
standard,quasi_local_walk,lrw,LRW-l3,steps,3.0,True,8,0.8847370993273568,0.11854163569129264,0.8862777854311675,0.11704307648836809,0.8291708891563425,0.1286779258779216,0.8291708891563425,0.1286779258779216,0.8291708891563425,0.1286779258779216,0.8566941295253458,0.10236258643225038
standard,quasi_local_walk,srw,SRW-l3,steps,3.0,True,8,0.9220421872498585,0.08349936810664454,0.9222991501679796,0.08360755785513355,0.8721053132555734,0.105039567062639,0.8721053132555734,0.105039567062639,0.8721053132555734,0.105039567062639,0.8948085647439017,0.08175266129183625
standard,quasi_local_walk,pfp,PFP-l3,steps,3.0,True,8,0.9085633375784765,0.07938369572537174,0.9138578040347058,0.08022344623616287,0.861193039359571,0.10215925771191256,0.861193039359571,0.10215925771191256,0.861193039359571,0.10215925771191256,0.8831935409531905,0.08026865388185883
standard,quasi_local_walk,lrw,LRW-l5,steps,5.0,False,8,0.9181392263631925,0.07238573920050687,0.9208842583897967,0.0695430024190793,0.8634621511772385,0.09090612168059682,0.8634621511772385,0.09090612168059682,0.8634621511772385,0.09090612168059681,0.8848517009462322,0.07377807546925738
standard,quasi_local_walk,srw,SRW-l5,steps,5.0,False,8,0.9489001648958836,0.04304459771186572,0.9491872062898912,0.04256425721125203,0.8986464363469903,0.06186761661054391,0.8986464363469903,0.06186761661054391,0.8986464363469903,0.06186761661054391,0.9158122591544557,0.04925204853668621
standard,quasi_local_walk,pfp,PFP-l5,steps,5.0,False,8,0.9342717983645563,0.04517582506460977,0.9391442857006005,0.04310059021116749,0.8861744608785778,0.06305916391559054,0.8861744608785778,0.06305916391559054,0.8861744608785778,0.06305916391559054,0.9028876936149545,0.05281626262704797
standard,quasi_local_walk,lrw,LRW-l7,steps,7.0,False,8,0.9294016562713894,0.056072531595197525,0.9329382880719932,0.05057152985658526,0.8779514932602454,0.07053577381961876,0.8779514932602454,0.07053577381961876,0.8779514932602454,0.07053577381961876,0.8946909510571461,0.06422622033103763
standard,quasi_local_walk,srw,SRW-l7,steps,7.0,False,8,0.9580758280132347,0.029803917403697058,0.9586620046937477,0.027903961835622278,0.9112395948518983,0.046787110029003126,0.9112395948518983,0.046787110029003126,0.9112395948518983,0.04678711002900313,0.9248227842634391,0.041363513425539664
standard,quasi_local_walk,pfp,PFP-l7,steps,7.0,False,8,0.9460368488323054,0.03588220774505345,0.9505956561402958,0.031595232022182,0.9011436396902427,0.05038762751770696,0.9011436396902427,0.05038762751770696,0.9011436396902426,0.050387627517706965,0.914416080416762,0.04607976339773858
