benchmark,network_id,network,domain,family,method_id,method,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ndcg_mean,ndcg_std
revision,ego_facebook,ego-Facebook,social,degree_based,pa,PA,0.8528963040810691,0.0024160452236242896,0.8396095863499016,0.003088502336612232,0.7588959185772086,0.0028340475659549215,0.7588959185772086,0.0028340475659549215,0.7588959185772086,0.0028340475659548873,0.7776775779702756,0.0025792419062759917
revision,socfb_middlebury45,socfb-Middlebury45,social,degree_based,pa,PA,0.7736918558212059,0.0013790651273108872,0.7921160296288854,0.00130890583487586,0.7155069397484684,0.0016182859077320379,0.7155069397484684,0.0016182859077320379,0.7155069397484682,0.0016182859077320502,0.7289004411507658,0.0015393997679633644
revision,ca_grqc,ca-GrQc,scientific_collaboration,degree_based,pa,PA,0.8650081945293765,0.004220531172011666,0.8421915541344399,0.0054118808866969745,0.7597409606044253,0.007030164735879981,0.7597409606044253,0.007030164735879981,0.7597409606044252,0.007030164735879957,0.7891579073809867,0.006257773667806515
revision,ca_hepth,ca-HepTh,scientific_collaboration,degree_based,pa,PA,0.8378262177964458,0.0025863236452031537,0.8253882061086035,0.0024377863421652293,0.7463045077998018,0.0033913149582840804,0.7463045077998018,0.0033913149582840804,0.7463045077998018,0.003391314958284049,0.7711835563743815,0.0028553970637465735
revision,email_eu_core,email-Eu-core,communication,degree_based,pa,PA,0.8664509905141221,0.005901635066977452,0.8733227884791331,0.004950146321322676,0.7824790503714848,0.006308188549217647,0.7824790503714848,0.006308188549217647,0.7824790503714848,0.006308188549217581,0.8029826242329132,0.005481621909402091
revision,email_univ,email-univ,communication,degree_based,pa,PA,0.8217262415705984,0.004942664668930608,0.8339941995541906,0.008297209672819366,0.754805319514184,0.006042252068215658,0.754805319514184,0.006042252068215658,0.754805319514184,0.006042252068215751,0.780026904596275,0.004706475805612349
revision,power_grid,power-grid,infrastructure,degree_based,pa,PA,0.6590415258621313,0.024710991762682252,0.6374921657498305,0.02110409691837663,0.5949189783026642,0.01674981158524144,0.5949189783026642,0.01674981158524144,0.5949189783026642,0.01674981158524144,0.6358573584084771,0.01887914022159
revision,power_1138_bus,power-1138-bus,infrastructure,degree_based,pa,PA,0.6724412735231542,0.05177347879931047,0.6773542263775887,0.06174728195771384,0.6263942307692307,0.07147378855268527,0.6263942307692307,0.07147378855268527,0.6263942307692307,0.07147378855268527,0.6590810192452764,0.06993621456803768
