benchmark,network_id,network,domain,family,method_id,method,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ndcg_mean,ndcg_std,distinct_score_count_mean,distinct_score_count_std,tie_group_count_mean,tie_group_count_std,tied_candidate_count_mean,tied_candidate_count_std,tied_candidate_ratio_mean,tied_candidate_ratio_std,largest_tie_group_mean,largest_tie_group_std,cutoff_tie_size_mean,cutoff_tie_size_std,cutoff_tie_positive_count_mean,cutoff_tie_positive_count_std,cutoff_tie_negative_count_mean,cutoff_tie_negative_count_std,cutoff_slots_in_tie_mean,cutoff_slots_in_tie_std,cutoff_tie_crosses_boundary_mean,cutoff_tie_crosses_boundary_std
standard,ego_facebook,ego-Facebook,social,quasi_local_path,lpi,LPI-beta-0.001,0.992660597056271,0.0005984758377195425,0.9938178353383392,0.00044824145655825566,0.9683001554896243,0.0014961589942514729,0.9683001554896243,0.0014961589942514729,0.9683001554896243,0.0014961589942514195,0.9715555388215062,0.0013457753731549095,14599.4,87.23130172134329,2233.0,29.966648127543394,21312.0,110.78582941874863,0.6328091895595269,0.0032966907416408712,11420.4,391.0598419679525,4.4,1.5165750888103102,2.6,1.3416407864998738,1.8,0.8366600265340756,2.4,1.1401754250991378,0.6,0.5477225575051661
standard,ego_facebook,ego-Facebook,social,quasi_local_path,ora_cni,ORA-CNI-beta-0.001,0.9891608981354617,0.000707043175360215,0.990545150462086,0.0006179719491772957,0.9523849072796313,0.0021091106332868457,0.9523849072796313,0.0021091106332868457,0.9523849072796313,0.0021091106332868457,0.957316844776049,0.0018911629236653832,20157.2,39.84595337044894,189.2,7.049822692805822,13710.4,41.89033301371565,0.4070977264914514,0.00124467404219589,11420.4,391.0598419679525,1.0,0.0,0.2,0.4472135954999579,0.8,0.4472135954999579,1.0,0.0,0.0,0.0
standard,ego_facebook,ego-Facebook,social,quasi_local_path,fl,FL-l3,0.9927273876853837,0.0005917364735979484,0.9938534484580209,0.00044557292151961364,0.9683001554896243,0.0014961589942514729,0.9683001554896243,0.0014961589942514729,0.9683001554896243,0.0014961589942514195,0.9715626746071546,0.0013450288557924567,14982.0,80.9691299199885,1887.8,13.809417076763236,20584.2,92.09614541336681,0.6111988972269019,0.0027423207865383244,11420.4,391.0598419679525,4.4,1.5165750888103102,2.6,1.3416407864998738,1.8,0.8366600265340756,2.4,1.1401754250991378,0.6,0.5477225575051661
standard,socfb_middlebury45,socfb-Middlebury45,social,quasi_local_path,lpi,LPI-beta-0.001,0.9467272601170965,0.000516758567143736,0.9502320335800217,0.0006983208325608201,0.8812644440368841,0.0020586902809294058,0.8812644440368841,0.0020586902809294058,0.8812644440368841,0.002058690280929434,0.8912239256608224,0.0018185774656005625,19678.2,60.61517961699024,7443.2,46.95955706775771,36380.6,106.4579729282878,0.7483317974110705,0.002183849248734602,1937.2,30.63005060394122,3.4,2.073644135332772,1.8,0.8366600265340756,1.6,1.816590212458495,2.2,0.8366600265340756,0.4,0.5477225575051661
standard,socfb_middlebury45,socfb-Middlebury45,social,quasi_local_path,ora_cni,ORA-CNI-beta-0.001,0.9176875283155731,0.0009363450451412612,0.9278135962400464,0.0006555901840484687,0.8538000113178444,0.0011715163915607528,0.8538000113178444,0.0011715163915607528,0.8538000113178444,0.0011715163915607528,0.8642731613326811,0.0010729561722801228,46501.2,23.95203540411501,119.8,13.971399357258385,2234.2,32.35274331490302,0.045956447867349606,0.0006659919094016778,1937.2,30.63005060394122,1.0,0.0,0.4,0.5477225575051662,0.6,0.5477225575051662,1.0,0.0,0.0,0.0
standard,socfb_middlebury45,socfb-Middlebury45,social,quasi_local_path,fl,FL-l3,0.9469642542201833,0.0005209710087945599,0.9503248520172667,0.0006984899646244157,0.8812562162929314,0.0020667260053115126,0.8812562162929314,0.0020667260053115126,0.8812562162929314,0.002066726005311541,0.8912454410767369,0.001826598838329279,20710.0,36.62649314362488,6726.4,31.674911207452414,34632.0,67.74953874381772,0.7123639297113248,0.001391679364708725,1937.2,30.63005060394122,3.4,2.073644135332772,1.8,0.8366600265340756,1.6,1.816590212458495,2.4,0.8944271909999159,0.4,0.5477225575051661
standard,ca_grqc,ca-GrQc,scientific_collaboration,quasi_local_path,lpi,LPI-beta-0.001,0.9820305938209868,0.0031636655250474564,0.981985630862454,0.0031281722276434716,0.9676200755531571,0.005004651103883274,0.9676200755531571,0.005004651103883274,0.9676200755531571,0.005004651103883274,0.9727529013024458,0.0042544106318682775,890.6,17.155174146594945,168.4,14.152738250953417,2983.8,24.973986465920945,0.8051268213707502,0.0067387982908583355,1863.2,8.983317872590291,1504.0,810.5908338983362,55.6,19.16507239746305,1448.4,791.8132987011522,21.0,17.53567791675018,1.0,0.0
standard,ca_grqc,ca-GrQc,scientific_collaboration,quasi_local_path,ora_cni,ORA-CNI-beta-0.001,0.9818539632287626,0.0031765955746650794,0.9817546785321218,0.003106651737546931,0.9676200755531571,0.005004651103883274,0.9676200755531571,0.005004651103883274,0.9676200755531571,0.005004651103883274,0.9727115512794082,0.004259144889836275,1688.8,12.814054783713075,58.4,6.024948132556827,2075.6,12.401612798341981,0.5600647598488937,0.003346360711910942,1863.2,8.983317872590291,1493.4,834.2926944424241,51.2,28.873863614002197,1442.2,805.6765480017399,11.0,7.582875444051551,0.8,0.4472135954999579
standard,ca_grqc,ca-GrQc,scientific_collaboration,quasi_local_path,fl,FL-l3,0.9820305938209868,0.0031636655250474564,0.981985630862454,0.0031281722276434716,0.9676200755531571,0.005004651103883274,0.9676200755531571,0.005004651103883274,0.9676200755531571,0.005004651103883274,0.9727529013024458,0.0042544106318682775,890.6,17.155174146594945,168.4,14.152738250953417,2983.8,24.973986465920945,0.8051268213707502,0.0067387982908583355,1863.2,8.983317872590291,1504.0,810.5908338983362,55.6,19.16507239746305,1448.4,791.8132987011522,21.0,17.53567791675018,1.0,0.0
standard,ca_hepth,ca-HepTh,scientific_collaboration,quasi_local_path,lpi,LPI-beta-0.001,0.9678464769819755,0.0019264698168619115,0.9677248014786739,0.0019197329516751787,0.9416164587478273,0.0034369754141358165,0.9416164587478273,0.0034369754141358165,0.9416164587478273,0.0034369754141358165,0.9501044336204376,0.002935635684504437,485.8,21.382235617446547,199.6,8.173126696681019,6181.4,25.919104922817112,0.9557485604257732,0.0039768961078911974,3354.6,17.18429515575196,3354.6,17.18429515575196,196.0,12.649110640673516,3158.6,7.402702209328753,120.8,17.340703561274555,1.0,0.0
