benchmark,family,analysis_family,network_count,method_count,mean_candidate_count,mean_scoring_seconds,median_scoring_seconds,mean_candidates_per_second
standard,degree_based,standard_local,8,1,12627.099999999999,0.02735144924372429,0.010729967895895191,343642.54138993606
standard,local_similarity,standard_local,8,9,12627.099999999999,0.33804820161312815,0.0823275038041174,51736.5094704003
standard,local_bayesian,local_bayesian,8,3,12627.099999999999,0.5811567052849569,0.16047589061781758,30356.644562597467
standard,quasi_local_path,quasi_local_path,8,3,12627.099999999999,29.362257569655775,0.587534766132012,10128.055510276996
standard,quasi_local_walk,quasi_local_walk,8,3,12627.099999999999,32.250475595111496,2.203108049929142,4034.271310517091
standard,enhanced_local,enhanced_local,8,8,12627.099999999999,33.22862216897774,1.4616021122783422,3313.429631308133
