benchmark,network_id,network,domain,family,method_id,method,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ndcg_mean,ndcg_std
revision,ego_facebook,ego-Facebook,social,local_bayesian,lnb_ra,LNB-RA,0.9950022360477238,0.00041657723850539995,0.9947407748740691,0.0004690919891517368,0.9766616068709402,0.0013455448269640196,0.9766616068709402,0.0013455448269640196,0.9766616068709402,0.0013455448269640196,0.9791672006212536,0.001207332793573494
revision,socfb_middlebury45,socfb-Middlebury45,social,local_bayesian,lnb_ra,LNB-RA,0.955021818570998,0.0011250411282616747,0.9566419354927174,0.0011526803764662997,0.8946264278276971,0.0022216866553720423,0.8946264278276971,0.0022216866553720423,0.8946264278276971,0.0022216866553720423,0.9037375068767011,0.0020254400651750627
revision,ca_grqc,ca-GrQc,scientific_collaboration,local_bayesian,lnb_ra,LNB-RA,0.9792607999359927,0.0026562935174115373,0.9666243885078354,0.003729572654241932,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.948241426493641,0.004999159930621019
revision,ca_hepth,ca-HepTh,scientific_collaboration,local_bayesian,lnb_ra,LNB-RA,0.9588376715304519,0.002071283995297502,0.9364721403711265,0.0025864276450172107,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.9041023031853992,0.004353834448960426
revision,email_eu_core,email-Eu-core,communication,local_bayesian,lnb_ra,LNB-RA,0.9537282882511444,0.0019299491036600981,0.9527257783086298,0.0020360668520150037,0.8921682260668364,0.004206692879788848,0.8921682260668364,0.004206692879788848,0.8921682260668364,0.004206692879788848,0.9050281315695947,0.003690502361119217
revision,email_univ,email-univ,communication,local_bayesian,lnb_ra,LNB-RA,0.8963740755947291,0.004327846130422689,0.8575405083497809,0.0030970030833758497,0.7893030342045406,0.004979394148668466,0.7893030342045406,0.004979394148668466,0.7893030342045406,0.004979394148668418,0.8232547725920482,0.003971241616762185
revision,power_grid,power-grid,infrastructure,local_bayesian,lnb_ra,LNB-RA,0.7584154018473368,0.013351908830379015,0.6812083795326116,0.01301137405010723,0.610625286093564,0.014625786521945029,0.610625286093564,0.014625786521945029,0.610625286093564,0.014625786521945029,0.6740994740895742,0.012682346827991233
revision,power_1138_bus,power-1138-bus,infrastructure,local_bayesian,lnb_ra,LNB-RA,0.7788585536559718,0.04150778615905422,0.702548076923077,0.03528318840291703,0.6357211538461538,0.051459042030111736,0.6357211538461538,0.051459042030111736,0.6357211538461538,0.051459042030111736,0.720972333841381,0.04299114156306007
