network,domain,raw_graph_type,raw_directed,raw_nodes,raw_edges,raw_undirected_nodes,raw_undirected_edges,raw_components,processed_nodes,processed_edges,removed_nodes,removed_edges,largest_component_node_ratio,largest_component_edge_ratio,density,average_degree,average_clustering,transitivity,degree_assortativity,processed_components,network_id,repository,benchmark,method_count,mean_method_average_precision,maximum_method_average_precision
email-Eu-core,communication,DiGraph,True,1005,25571,1005,16064,20,986,16064,19,0,0.981094527363184,1.0,0.0330803842629297,32.5841784989858,0.4070504475195386,0.267392428770402,-0.0257433680830886,1,email_eu_core,SNAP,standard,27,0.925429037568878,0.9564370435593714
email-univ,communication,Graph,False,1133,5451,1133,5451,1,1133,5451,0,0,1.0,1.0,0.0085002136358958,9.62224183583407,0.220176086504116,0.1662500648239381,0.0782009625658135,1,email_univ,Network Data Repository,standard,27,0.8517456159297662,0.9387230902015119
power-1138-bus,infrastructure,Graph,False,1138,2596,1138,1458,1,1138,1458,0,0,1.0,1.0,0.0022536413000635,2.562390158172232,0.0866149729235121,0.0930683470673776,-0.0801098979742453,1,power_1138_bus,Network Data Repository,standard,27,0.6994222583327625,0.8134572618604997
power-grid,infrastructure,Graph,False,4941,6594,4941,6594,1,4941,6594,0,0,1.0,1.0,0.0005403026973346,2.66909532483303,0.0801036110815971,0.1031532245286008,0.0034569877442048,1,power_grid,Netzschleuder,standard,27,0.6798039001705888,0.7707283825985962
ca-GrQc,scientific_collaboration,Graph,False,5242,14496,5242,14484,355,4158,13422,1084,1062,0.7932086989698588,0.9266777133388566,0.0015530402828935,6.455988455988456,0.5568782161697929,0.6288944756689877,0.6391861406753755,1,ca_grqc,SNAP,standard,27,0.9510566374268657,0.9830306537905142
ca-HepTh,scientific_collaboration,Graph,False,9877,25998,9877,25973,429,8638,24806,1239,1167,0.8745570517363572,0.955068725214646,0.0006649831115038,5.74345913405881,0.4815641520261653,0.281129264921973,0.2389153108042067,1,ca_hepth,SNAP,standard,27,0.915492598609944,0.96873017319694
ego-Facebook,social,Graph,False,4039,88234,4039,88234,1,4039,88234,0,0,1.0,1.0,0.0108199635034392,43.69101262688784,0.6055467186200862,0.5191742775433075,0.0635772291856494,1,ego_facebook,SNAP,standard,27,0.9814360564916664,0.9958544778279746
socfb-Middlebury45,social,Graph,False,3075,124610,3075,124610,4,3069,124607,6,3,0.9980487804878048,0.9999759248856432,0.0264679430890475,81.20364939719778,0.2821799875340557,0.2108422246704818,0.0784154114035361,1,socfb_middlebury45,Network Data Repository,standard,27,0.9349305330598008,0.95559393214387
