benchmark,network_id,network,domain,family,method_id,method,parameter,parameter_value,is_primary,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ndcg_mean,ndcg_std
revision,ego_facebook,ego-Facebook,social,quasi_local_path,lpi,LPI-beta-0.1,beta,0.1,False,0.9867908536107077,0.0008290698321555833,0.9886946768228416,0.0006615234043449584,0.9473371580141621,0.0017119038396235132,0.9473371580141621,0.0017119038396235132,0.9473371580141621,0.0017119038396235132,0.9526664215299119,0.001547879624647263
revision,ego_facebook,ego-Facebook,social,quasi_local_path,lpi,LPI-beta-0.01,beta,0.01,False,0.9913060904066752,0.0006965415906470204,0.9927806548441669,0.0005329912226689071,0.9669461636041996,0.0015012075811461655,0.9669461636041996,0.0015012075811461655,0.9669461636041996,0.0015012075811461655,0.9702403769484864,0.0013415326652541125
revision,ego_facebook,ego-Facebook,social,quasi_local_path,lpi,LPI-beta-0.001,beta,0.001,True,0.992660597056271,0.0005984758377195128,0.9938178353383392,0.0004482414565582286,0.9683001554896246,0.0014961589942515275,0.9683001554896246,0.0014961589942515275,0.9683001554896246,0.0014961589942515275,0.9715555388215062,0.0013457753731549568
revision,ego_facebook,ego-Facebook,social,quasi_local_walk,lrw,LRW-l3,steps,3.0,True,0.9948354923055733,0.00045621972432073127,0.9955508872740515,0.0004139504852069816,0.973882375477468,0.001407323043723499,0.973882375477468,0.001407323043723499,0.973882375477468,0.001407323043723499,0.9766210712412006,0.00126612042439645
revision,ego_facebook,ego-Facebook,social,quasi_local_walk,srw,SRW-l3,steps,3.0,True,0.9958544778279746,0.00033494302695099497,0.9964413509130627,0.0002957342377699935,0.976637851080634,0.0014524660413769163,0.976637851080634,0.0014524660413769163,0.976637851080634,0.0014524660413769163,0.9791224803335761,0.0012988734188035165
revision,ego_facebook,ego-Facebook,social,quasi_local_walk,pfp,PFP-l3,steps,3.0,True,0.9848202220551201,0.0007040635721151205,0.9901373430402385,0.00039068838601743366,0.9628010991055573,0.0014089181039321499,0.9628010991055573,0.0014089181039321499,0.9628010991055573,0.0014089181039321499,0.9657680081092629,0.0012826851213385041
revision,ego_facebook,ego-Facebook,social,quasi_local_walk,lrw,LRW-l5,steps,5.0,False,0.9932592560401048,0.000546802897759026,0.9942285041978213,0.00046530137651167334,0.967409378945692,0.0015635324827827028,0.967409378945692,0.0015635324827827028,0.967409378945692,0.0015635324827827028,0.9707990437046432,0.0014080319100466332
revision,ego_facebook,ego-Facebook,social,quasi_local_walk,srw,SRW-l5,steps,5.0,False,0.9951915757157703,0.00040056057093537434,0.995909558091738,0.0003455386476762128,0.9749988221551626,0.001492135424584825,0.9749988221551626,0.001492135424584825,0.9749988221551626,0.001492135424584825,0.977622680253889,0.0013400781710926196
revision,ego_facebook,ego-Facebook,social,quasi_local_walk,pfp,PFP-l5,steps,5.0,False,0.9840091590313721,0.0006757132301618607,0.9896042520641126,0.00037692582044482754,0.9613283437851192,0.0013892826026897797,0.9613283437851192,0.0013892826026897797,0.9613283437851192,0.0013892826026897797,0.9643956530190178,0.001271437532637518
revision,ego_facebook,ego-Facebook,social,quasi_local_walk,lrw,LRW-l7,steps,7.0,False,0.9916648230528138,0.0006087725888138838,0.9927328407022321,0.0005164960724726687,0.9609363873509903,0.0014217656415531513,0.9609363873509903,0.0014217656415531513,0.9609363873509903,0.0014217656415531513,0.9650028679252785,0.0012917703481528542
