benchmark,network_id,network,domain,fold,family,method_id,average_precision,roc_auc,precision,recall,f1,ndcg,cutoff,positive_count,negative_count,candidate_count,distinct_score_count,tie_group_count,tied_candidate_count,tied_candidate_ratio,largest_tie_group,cutoff_score,cutoff_tie_size,cutoff_tie_positive_count,cutoff_tie_negative_count,cutoff_slots_in_tie,cutoff_tie_crosses_boundary,method,family_scoring_seconds
standard,ego_facebook,ego-Facebook,social,3,local_similarity,ra,0.9944864622232439,0.9947655424277658,0.9779084268662035,0.9779084268662035,0.9779084268662035,0.9802949698893585,16839,16839,16839,33678,16878,257,17057,0.5064730684719996,14842,0.030132375265533556,1,1,0,1,False,RA,0.7977910903282464
standard,ego_facebook,ego-Facebook,social,3,local_similarity,ja,0.9896478044949704,0.9905439804796811,0.9548072925945721,0.9548072925945721,0.9548072925945721,0.9596140010370047,16839,16839,16839,33678,5649,3034,31063,0.9223528713106479,14842,0.034482758620689655,31,4,27,19,True,JA,0.7977910903282464
standard,ego_facebook,ego-Facebook,social,3,local_similarity,sa,0.9905056371519906,0.9915795439100553,0.9618148346101313,0.9618148346101313,0.9618148346101314,0.9657819766264162,16839,16839,16839,33678,14161,2305,21822,0.6479600926420809,14842,0.1,9,2,7,3,True,SA,0.7977910903282464
standard,ego_facebook,ego-Facebook,social,3,local_similarity,so,0.9896478044949704,0.9905439804796811,0.9548072925945721,0.9548072925945721,0.9548072925945721,0.9596140010370047,16839,16839,16839,33678,5649,3034,31063,0.9223528713106479,14842,0.06666666666666667,31,4,27,19,True,SO,0.7977910903282464
standard,ego_facebook,ego-Facebook,social,3,local_similarity,hpi,0.966020601002771,0.9861592861506306,0.9593800106894709,0.9593800106894709,0.9593800106894709,0.9579416352581559,16839,16839,16839,33678,2784,1897,32791,0.9736623314923689,14842,0.17647058823529413,21,15,6,1,True,HPI,0.7977910903282464
standard,ego_facebook,ego-Facebook,social,3,local_similarity,hdi,0.9887565392127994,0.9896607930228059,0.9513035215867925,0.9513035215867925,0.9513035215867925,0.95647814516958,16839,16839,16839,33678,4590,2838,31926,0.9479779084268662,14842,0.043478260869565216,39,11,28,18,True,HDI,0.7977910903282464
standard,ego_facebook,ego-Facebook,social,3,local_similarity,llhn,0.9143397606645001,0.9605838149126842,0.9350317714828672,0.9350317714828672,0.9350317714828671,0.9306887305471431,16839,16839,16839,33678,11485,2576,24769,0.7354652889126433,14842,0.0024784609937448365,1,1,0,1,False,LLHN,0.7977910903282464
standard,ego_facebook,ego-Facebook,social,4,local_similarity,cn,0.9914904416579258,0.9933897926228474,0.9722667616841856,0.9722667616841856,0.9722667616841856,0.9750804763291245,16839,16839,16839,33678,136,132,33674,0.9998812281014312,14768,2.0,502,281,221,210,True,CN,0.6243621269240975
standard,ego_facebook,ego-Facebook,social,4,local_similarity,aa,0.9935035896342549,0.9944244267701505,0.9758893045905339,0.9758893045905339,0.9758893045905339,0.9783476559763399,16839,16839,16839,33678,17017,221,16882,0.5012767979096145,14768,0.48663571923316884,1,1,0,1,False,AA,0.6243621269240975
standard,ego_facebook,ego-Facebook,social,4,local_similarity,ra,0.994957289003756,0.9954641058488897,0.9780271987647723,0.9780271987647723,0.9780271987647723,0.9803700377445892,16839,16839,16839,33678,17013,224,16889,0.50148464873211,14768,0.03561643835616438,1,1,0,1,False,RA,0.6243621269240975
standard,ego_facebook,ego-Facebook,social,4,local_similarity,ja,0.9885288515912789,0.9909390844860473,0.956410713225251,0.956410713225251,0.956410713225251,0.9600557560177083,16839,16839,16839,33678,5706,3031,31003,0.9205712928321159,14768,0.038461538461538464,30,12,18,15,True,JA,0.6243621269240975
standard,ego_facebook,ego-Facebook,social,4,local_similarity,sa,0.9893043173166309,0.9919381484282026,0.9621117643565532,0.9621117643565532,0.9621117643565532,0.9650692949735823,16839,16839,16839,33678,14177,2373,21874,0.6495041273234753,14768,0.10660035817780521,10,3,7,8,True,SA,0.6243621269240975
standard,ego_facebook,ego-Facebook,social,4,local_similarity,so,0.9885288515912789,0.9909390844860473,0.956410713225251,0.956410713225251,0.956410713225251,0.9600557560177083,16839,16839,16839,33678,5706,3031,31003,0.9205712928321159,14768,0.07407407407407407,30,12,18,15,True,SO,0.6243621269240975
standard,ego_facebook,ego-Facebook,social,4,local_similarity,hpi,0.9659790484599613,0.9865076456315033,0.9589049230951957,0.9589049230951957,0.9589049230951957,0.9575521361145828,16839,16839,16839,33678,2753,1899,32824,0.9746421996555615,14768,0.2,189,87,102,118,True,HPI,0.6243621269240975
standard,ego_facebook,ego-Facebook,social,4,local_similarity,hdi,0.9877429634047747,0.9901776807218315,0.952847556268187,0.952847556268187,0.9528475562681868,0.9568734711388502,16839,16839,16839,33678,4586,2856,31948,0.9486311538689945,14768,0.04878048780487805,3,1,2,1,True,HDI,0.6243621269240975
standard,ego_facebook,ego-Facebook,social,4,local_similarity,llhn,0.9104635643178055,0.9588701746090446,0.932478175663638,0.932478175663638,0.932478175663638,0.9267886017890152,16839,16839,16839,33678,11500,2586,24764,0.7353168240394322,14768,0.0026455026455026454,5,4,1,3,True,LLHN,0.6243621269240975
standard,ego_facebook,ego-Facebook,social,5,local_similarity,cn,0.9902768882024661,0.9922061487285779,0.9686442187778371,0.9686442187778371,0.9686442187778371,0.9718523041137089,16839,16839,16839,33678,138,133,33673,0.999851535126789,14691,2.0,597,350,247,251,True,CN,0.756865831092
standard,ego_facebook,ego-Facebook,social,5,local_similarity,aa,0.9924666305762375,0.9933337094196585,0.972623077379892,0.972623077379892,0.972623077379892,0.9754407710047835,16839,16839,16839,33678,17034,243,16887,0.5014252627828256,14691,0.489730302431473,1,1,0,1,False,AA,0.756865831092
standard,ego_facebook,ego-Facebook,social,5,local_similarity,ra,0.9940427017720895,0.9943888424582388,0.9747015856048459,0.9747015856048459,0.9747015856048459,0.9774257661537405,16839,16839,16839,33678,17019,248,16907,0.5020191222756696,14691,0.03563086424640722,3,3,0,1,True,RA,0.756865831092
standard,ego_facebook,ego-Facebook,social,5,local_similarity,ja,0.9881448444923513,0.9900126880113783,0.9537977314567373,0.9537977314567373,0.9537977314567374,0.958194332186082,16839,16839,16839,33678,5710,3045,31013,0.920868222578538,14691,0.04,40,12,28,32,True,JA,0.756865831092
standard,ego_facebook,ego-Facebook,social,5,local_similarity,sa,0.9887082055199643,0.9909625193475589,0.9600926420808836,0.9600926420808836,0.9600926420808836,0.9636882753148817,16839,16839,16839,33678,14068,2434,22044,0.6545519330126492,14691,0.10934350421017384,1,1,0,1,False,SA,0.756865831092
standard,ego_facebook,ego-Facebook,social,5,local_similarity,so,0.9881448444923513,0.9900126880113783,0.9537977314567373,0.9537977314567373,0.9537977314567374,0.958194332186082,16839,16839,16839,33678,5710,3045,31013,0.920868222578538,14691,0.07692307692307693,40,12,28,32,True,SO,0.756865831092
standard,ego_facebook,ego-Facebook,social,5,local_similarity,hpi,0.963874020289673,0.9850625187617755,0.9580141338559297,0.9580141338559297,0.9580141338559297,0.9556618850666412,16839,16839,16839,33678,2777,1871,32772,0.9730981649741671,14691,0.2,172,66,106,79,True,HPI,0.756865831092
standard,ego_facebook,ego-Facebook,social,5,local_similarity,hdi,0.987699372291035,0.989246755975954,0.9517192232317834,0.9517192232317834,0.9517192232317834,0.9563768645683399,16839,16839,16839,33678,4551,2800,31927,0.9480076014015084,14691,0.05,38,11,27,15,True,HDI,0.756865831092
standard,ego_facebook,ego-Facebook,social,5,local_similarity,llhn,0.9073284076669037,0.9574457688121252,0.9330126492071976,0.9330126492071976,0.9330126492071976,0.9275839703816106,16839,16839,16839,33678,11372,2598,24904,0.7394738404893402,14691,0.0027223230490018148,1,1,0,1,False,LLHN,0.756865831092
standard,socfb_middlebury45,socfb-Middlebury45,social,1,local_similarity,cn,0.9426876795699763,0.949973268971083,0.8841122264275135,0.8841122264275135,0.8841122264275135,0.8938384773178963,24308,24308,24308,48616,96,88,48608,0.9998354451209478,13681,5.0,1482,797,685,977,True,CN,0.6516927611082792
standard,socfb_middlebury45,socfb-Middlebury45,social,1,local_similarity,aa,0.94982853128651,0.9528650503565822,0.8883495145631068,0.8883495145631068,0.8883495145631068,0.8978266542168812,24308,24308,24308,48616,30717,486,18385,0.37816768142175416,13681,1.0442528521373244,1,1,0,1,False,AA,0.6516927611082792
standard,socfb_middlebury45,socfb-Middlebury45,social,1,local_similarity,ra,0.9540679665504019,0.9561413758742944,0.892627941418463,0.892627941418463,0.892627941418463,0.9019831543511964,24308,24308,24308,48616,30684,494,18426,0.3790110251768965,13681,0.04819672131147541,1,0,1,1,False,RA,0.6516927611082792
standard,socfb_middlebury45,socfb-Middlebury45,social,1,local_similarity,ja,0.9500978247118774,0.9529260205523278,0.8886374856014481,0.8886374856014481,0.8886374856014481,0.8981532642920762,24308,24308,24308,48616,6640,4178,46154,0.9493582359716966,13681,0.031007751937984496,10,3,7,9,True,JA,0.6516927611082792
standard,socfb_middlebury45,socfb-Middlebury45,social,1,local_similarity,sa,0.9507183107673044,0.9534696954399777,0.8886374856014481,0.8886374856014481,0.8886374856014481,0.8981888035792704,24308,24308,24308,48616,26029,5042,27629,0.5683108441665295,13681,0.067638112188014,1,1,0,1,False,SA,0.6516927611082792
standard,socfb_middlebury45,socfb-Middlebury45,social,1,local_similarity,so,0.9500978247118774,0.9529260205523278,0.8886374856014481,0.8886374856014481,0.8886374856014481,0.8981532642920762,24308,24308,24308,48616,6640,4178,46154,0.9493582359716966,13681,0.06015037593984962,10,3,7,9,True,SO,0.6516927611082792
standard,socfb_middlebury45,socfb-Middlebury45,social,1,local_similarity,hpi,0.9230053868595073,0.9413117711382549,0.8771186440677966,0.8771186440677966,0.8771186440677965,0.8827761738336644,24308,24308,24308,48616,3460,2437,47593,0.9789575448412046,13681,0.0975609756097561,29,17,12,23,True,HPI,0.6516927611082792
standard,socfb_middlebury45,socfb-Middlebury45,social,1,local_similarity,hdi,0.9453542938239308,0.9489282400529392,0.8822198453184137,0.8822198453184137,0.8822198453184137,0.8920858719431584,24308,24308,24308,48616,4549,3400,47467,0.9763658054961329,13681,0.04504504504504504,10,6,4,3,True,HDI,0.6516927611082792
standard,socfb_middlebury45,socfb-Middlebury45,social,1,local_similarity,llhn,0.8753328540435216,0.9158749262691516,0.8492265920684549,0.8492265920684549,0.8492265920684549,0.8531969686258086,24308,24308,24308,48616,20046,5394,33964,0.6986177390159618,13681,0.0007982120051085569,3,1,2,2,True,LLHN,0.6516927611082792
