benchmark,network_id,network,domain,analysis_family,method_count,average_precision_mean,roc_auc_mean,precision_mean,recall_mean,f1_mean,ndcg_mean
standard,ca_grqc,ca-GrQc,scientific_collaboration,standard_local,10,0.9549164307016154,0.9535241286937447,0.9204101457096601,0.9204101457096601,0.9204101457096601,0.9321122260157748
standard,ca_grqc,ca-GrQc,scientific_collaboration,enhanced_local,8,0.9207660390463366,0.9206735573269991,0.8728413383702105,0.8728413383702105,0.8728413383702105,0.8920503010961579
standard,ca_grqc,ca-GrQc,scientific_collaboration,local_bayesian,3,0.9665922905819486,0.9664999810209413,0.9382622773880195,0.9382622773880195,0.9382622773880195,0.9482218046239539
standard,ca_grqc,ca-GrQc,scientific_collaboration,quasi_local_path,3,0.9819717169951554,0.9819086467523434,0.9676200755531571,0.9676200755531571,0.9676200755531571,0.9727391179614333
standard,ca_grqc,ca-GrQc,scientific_collaboration,quasi_local_walk,3,0.9725148561357395,0.9722219390734356,0.949667206332074,0.949667206332074,0.949667206332074,0.9576391646822892
standard,ca_hepth,ca-HepTh,scientific_collaboration,standard_local,10,0.9257170631215038,0.9251006459406543,0.8737706486581922,0.8737706486581922,0.8737706486581922,0.8907097219468841
standard,ca_hepth,ca-HepTh,scientific_collaboration,enhanced_local,8,0.860700181693131,0.8606616842765308,0.7993149361648323,0.7993149361648323,0.7993149361648323,0.8245017781143693
standard,ca_hepth,ca-HepTh,scientific_collaboration,local_bayesian,3,0.9364914873414009,0.9364500854554962,0.8879335531980134,0.8879335531980134,0.8879335531980134,0.9040974873356408
standard,ca_hepth,ca-HepTh,scientific_collaboration,quasi_local_path,3,0.9678614833390435,0.9676623491602344,0.9416164587478274,0.9416164587478274,0.9416164587478274,0.9500980227167911
standard,ca_hepth,ca-HepTh,scientific_collaboration,quasi_local_walk,3,0.9541563885556897,0.9535173465677396,0.9183620483032794,0.9183620483032794,0.9183620483032794,0.9300950868282598
standard,ego_facebook,ego-Facebook,social,standard_local,10,0.966356939240911,0.972796332583451,0.9396978610760932,0.9396978610760932,0.9396978610760932,0.943411897003681
standard,ego_facebook,ego-Facebook,social,enhanced_local,8,0.9882611084134098,0.989116407655126,0.9697150125951816,0.9697150125951816,0.9697150125951816,0.9728541096518434
standard,ego_facebook,ego-Facebook,social,local_bayesian,3,0.9930187302139998,0.9937947242272088,0.9745118573710307,0.9745118573710307,0.9745118573710307,0.9771490014007097
standard,ego_facebook,ego-Facebook,social,quasi_local_path,3,0.9915162942426465,0.9927388114194821,0.96299507275296,0.96299507275296,0.96299507275296,0.9668116860682366
standard,ego_facebook,ego-Facebook,social,quasi_local_walk,3,0.991836730729556,0.994043193742451,0.9711071085545532,0.9711071085545532,0.9711071085545532,0.9738371865613464
standard,email_eu_core,email-Eu-core,communication,standard_local,10,0.9004361783569579,0.9199783786666007,0.849127826825202,0.849127826825202,0.849127826825202,0.8593687529053632
standard,email_eu_core,email-Eu-core,communication,enhanced_local,8,0.9368000535437004,0.9388277908815698,0.8805623573115853,0.8805623573115853,0.8805623573115853,0.8945013551179722
standard,email_eu_core,email-Eu-core,communication,local_bayesian,3,0.9488839550444857,0.9506293921755239,0.8890289269831215,0.8890289269831215,0.8890289269831215,0.9020248154559001
standard,email_eu_core,email-Eu-core,communication,quasi_local_path,3,0.9387288768831824,0.9437219984575916,0.8727811282520496,0.8727811282520496,0.8727811282520496,0.8868917187013233
standard,email_eu_core,email-Eu-core,communication,quasi_local_walk,3,0.9416611022191724,0.947696440300461,0.8789045928623901,0.8789045928623901,0.8789045928623901,0.8916866377199683
standard,email_univ,email-univ,communication,standard_local,10,0.8424264719928918,0.8504754929699325,0.785853262735505,0.785853262735505,0.785853262735505,0.815762339464294
standard,email_univ,email-univ,communication,enhanced_local,8,0.8023755558048079,0.8016914146775773,0.7347771085468435,0.7347771085468435,0.7347771085468435,0.7735363407516783
standard,email_univ,email-univ,communication,local_bayesian,3,0.859634219897443,0.8573506383722108,0.7890715527230591,0.7890715527230591,0.7890715527230591,0.8231204515002472
standard,email_univ,email-univ,communication,quasi_local_path,3,0.9289677198982913,0.9283823857314507,0.8670979786275267,0.8670979786275267,0.8670979786275267,0.8869619539366528
standard,email_univ,email-univ,communication,quasi_local_walk,3,0.9293522147830346,0.9275387992006571,0.8672520313863497,0.8672520313863497,0.8672520313863497,0.8860070010910347
standard,power_1138_bus,power-1138-bus,infrastructure,standard_local,10,0.6988252074855608,0.7000286918685281,0.6347884615384615,0.6347884615384615,0.6347884615384615,0.7147832023817706
standard,power_1138_bus,power-1138-bus,infrastructure,enhanced_local,8,0.6284633340515366,0.6282815699831269,0.5889483173076924,0.5889483173076924,0.5889483173076924,0.6477499225566623
standard,power_1138_bus,power-1138-bus,infrastructure,local_bayesian,3,0.702548076923077,0.702548076923077,0.6357211538461538,0.6357211538461538,0.6357211538461538,0.720972333841381
standard,power_1138_bus,power-1138-bus,infrastructure,quasi_local_path,3,0.812878981096727,0.8126764823717948,0.7539903846153845,0.7539903846153845,0.7539903846153845,0.818419347533129
standard,power_1138_bus,power-1138-bus,infrastructure,quasi_local_walk,3,0.7740536845524247,0.7774645567523422,0.7165865384615384,0.7165865384615384,0.7165865384615384,0.7849478595785923
standard,power_grid,power-grid,infrastructure,standard_local,10,0.6770705779693689,0.67671236296079,0.609054655314474,0.609054655314474,0.609054655314474,0.6700863178245062
standard,power_grid,power-grid,infrastructure,enhanced_local,8,0.6250414292663906,0.6253502552760253,0.5794946443284812,0.5794946443284812,0.5794946443284812,0.6327346181789706
standard,power_grid,power-grid,infrastructure,local_bayesian,3,0.6810645959063789,0.6812016713796769,0.610625286093564,0.610625286093564,0.610625286093564,0.6741112944047037
standard,power_grid,power-grid,infrastructure,quasi_local_path,3,0.7699445788461938,0.7709347677632469,0.6783301290854161,0.6783301290854161,0.6783301290854161,0.7383720714755487
standard,power_grid,power-grid,infrastructure,quasi_local_walk,3,0.7435468555077889,0.7443808577737995,0.6577783881107143,0.6577783881107143,0.6577783881107143,0.7187413305461289
standard,socfb_middlebury45,socfb-Middlebury45,social,standard_local,10,0.922380097494039,0.9327116281264693,0.866954638088633,0.866954638088633,0.866954638088633,0.8757667535862955
standard,socfb_middlebury45,socfb-Middlebury45,social,enhanced_local,8,0.9440441278990049,0.9468974386456833,0.8853793797690543,0.8853793797690543,0.8853793797690543,0.8950652386272955
standard,socfb_middlebury45,socfb-Middlebury45,social,local_bayesian,3,0.9514052853446743,0.9543866534088612,0.8908882504523951,0.8908882504523951,0.8908882504523951,0.9001933913490162
standard,socfb_middlebury45,socfb-Middlebury45,social,quasi_local_path,3,0.9371263475509509,0.9427901606124448,0.8721068905492201,0.8721068905492201,0.8721068905492201,0.8822475093567469
standard,socfb_middlebury45,socfb-Middlebury45,social,quasi_local_walk,3,0.9337918319317723,0.9429628389460557,0.8735933973797323,0.8735933973797323,0.8735933973797323,0.8829023602522151
