analysis_family,network_count,method_count,average_precision_mean,average_precision_sd_across_networks,roc_auc_mean,roc_auc_sd_across_networks
standard_local,8,10,0.861016120795356,0.11333079071714329,0.8664159577262713,0.11559710426976356
enhanced_local,8,8,0.8383064787147897,0.1421649146129447,0.8389375148403297,0.1427898300455256
local_bayesian,8,3,0.879954830156676,0.1223494346005037,0.8803576528703745,0.12285991680099366
quasi_local_path,8,3,0.9161244998565239,0.08092473076391275,0.9176019502835736,0.08127596687244944
quasi_local_walk,8,3,0.9051142080518972,0.092963288878154,0.9074782465446177,0.09303473811552845
