benchmark,network_id,network,domain,family,analysis_family,method_id,method,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ndcg_mean,ndcg_std
standard,ca_grqc,ca-GrQc,scientific_collaboration,quasi_local_walk,quasi_local_walk,srw,SRW-l3,0.9830306537905142,0.002867914987334268,0.9826687022313841,0.0029212844917775043,0.9677280086346466,0.0052238942429919865,0.9677280086346466,0.0052238942429919865,0.9677280086346466,0.0052238942429919865,0.9729435889688958,0.00440089350639837
standard,ca_hepth,ca-HepTh,scientific_collaboration,quasi_local_walk,quasi_local_walk,srw,SRW-l3,0.96873017319694,0.0019368896998664138,0.9681850719600694,0.0019305222770686031,0.9416164587478273,0.003436975414135884,0.9416164587478273,0.003436975414135884,0.9416164587478273,0.003436975414135884,0.950180722407665,0.0029382286696863925
standard,ego_facebook,ego-Facebook,social,quasi_local_walk,quasi_local_walk,srw,SRW-l3,0.9958544778279746,0.00033494302695099497,0.9964413509130627,0.0002957342377699935,0.976637851080634,0.0014524660413769163,0.976637851080634,0.0014524660413769163,0.976637851080634,0.0014524660413769163,0.9791224803335761,0.0012988734188035165
standard,email_eu_core,email-Eu-core,communication,quasi_local_walk,quasi_local_walk,srw,SRW-l3,0.9564370435593714,0.0020375953022432297,0.958994949449236,0.001795613484411323,0.8942239069902478,0.0038401460079731027,0.8942239069902478,0.0038401460079731027,0.8942239069902478,0.0038401460079731027,0.9065706369499438,0.0033212053771704097
standard,email_univ,email-univ,communication,quasi_local_walk,quasi_local_walk,srw,SRW-l3,0.9387230902015119,0.00451597965276942,0.933973033365336,0.005266189720896356,0.8738114780481524,0.005955203079901544,0.8738114780481524,0.005955203079901544,0.8738114780481524,0.005955203079901563,0.893517857631141,0.004965051257145761
standard,power_1138_bus,power-1138-bus,infrastructure,quasi_local_path,quasi_local_path,ora_cni,ORA-CNI-beta-0.001,0.8134572618604997,0.03645191810934667,0.812454084227071,0.03652846844621462,0.7539903846153846,0.05614295781554535,0.7539903846153846,0.05614295781554535,0.7539903846153846,0.05614295781554539,0.8185141071690547,0.043147909046201756
standard,power_grid,power-grid,infrastructure,quasi_local_walk,quasi_local_walk,srw,SRW-l3,0.7707283825985962,0.01056767097158248,0.771159173254168,0.010777306142703183,0.6783301290854161,0.023749985010262337,0.6783301290854161,0.023749985010262337,0.6783301290854161,0.023749985010262337,0.7384819683867189,0.0193821087969369
standard,socfb_middlebury45,socfb-Middlebury45,social,enhanced_local,enhanced_local,ia1,IA1,0.95559393214387,0.000940190221707171,0.9575332649331155,0.0009690922810458068,0.8956631208577835,0.0020817328771543775,0.8956631208577835,0.0020817328771543775,0.8956631208577834,0.002081732877154368,0.9047962041980467,0.0018699158265716885
